,title,director,cast,listed_in,description,lower
1047,Kicking and Screaming,Noah Baumbach,"Josh Hamilton, Olivia d'Abo, Carlos Jacott, Chris Eigeman, Eric Stoltz, Jason Wiles, Parker Posey, Cara Buono, Elliott Gould, Samuel Gould","Comedies, Independent Movies, Romantic Movies",graduat colleg roomi – petrifi prospect face real life – reluctantli step adulthood ensembl comedi,kicking and screaming
1048,Minimalism: A Documentary About the Important Things,Matt D'Avella,"Joshua Fields Millburn, Ryan Nicodemus",Documentaries,peopl dedic reject american ideal thing bring happi interview documentari show virtu,minimalism: a documentary about the important things
1049,Oththa Seruppu Size 7,Parthiban,Parthiban,"Dramas, International Movies, Thrillers",taken custodi murder suspect theatric explan peculiar modu operandi unearth truth far crime he ’ s accus,oththa seruppu size 7
1050,The Devil Next Door,,,"Crime TV Shows, Docuseries",cleveland grandfath brought trial israel accus infam nazi death camp guard known ivan terribl,the devil next door
1051,Williams,Morgan Matthews,,"Documentaries, International Movies, Sports Movies",inspir documentari chart birth sir frank williamss renown race empir – nearfat crash nearli stall futur,williams
1052,"Dana Carvey: Straight White Male, 60",Marcus Raboy,Dana Carvey,Stand-Up Comedy,emmywin comedian dana carvey blend pitchperfect take big person sotrueithurt stori life dad millenni,"dana carvey: straight white male, 60"
1053,Qué pena tu serie,,"Ariel Levy, Andrea Velasco, Lucy Cominetti, Ignacia Allamand, Paz Bascuñán, Claudia Celedón, Nicolás Martínez","International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",javier happili love sofia break perfect life – mayb tri find new perfect love,qué pena tu serie
1054,The Ivory Game,"Kief Davidson, Richard Ladkani",,Documentaries,filmmak infiltr corrupt global network ivori traffick expos poacher dealer african eleph edg closer extinct,the ivory game
1055,Chocolate,,"Ha Ji-won, Yoon Kye-sang, Jang Seung-jo, Kang Bu-ja, Lee Jae-ryong, Min Jin-woong, Kim Won-hae, Yoo Teo","International TV Shows, Korean TV Shows, Romantic TV Shows",brought meaning meal past present doctor chef reacquaint begin work hospic ward,chocolate
1056,Guatemala: Heart of the Mayan World,"Luis Ara, Ignacio Jaunsolo",Christian Morales,"Documentaries, International Movies",sierra la mina esquipula explor guatemala cultur geolog wealth includ ancient mayan citi natur wonder,guatemala: heart of the mayan world
1057,The Zoya Factor,Abhishek Sharma,"Sonam Kapoor, Dulquer Salmaan, Sanjay Kapoor, Sikander Kher, Angad Bedi, Koel Purie, Pooja Bhamrah, Manu Rishi Chadha","Comedies, Dramas, International Movies",goofi copywrit unwittingli convinc indian cricket team she ’ s lucki mascot dismay superstitionshun captain,the zoya factor
1058,1983,,"Robert Więckiewicz, Maciej Musiał, Michalina Olszańska, Andrzej Chyra, Clive Russell, Zofia Wichłacz, Edyta Olszówka, Mateusz Kościukiewicz, Ewa Błaszczyk, Vu Le Hong, Tomasz Włosok, Krzysztof Wach","Crime TV Shows, International TV Shows, TV Dramas",dark althistori thriller naïv law student worldweari detect uncov conspiraci tyrann poland decad,1983
1059,A Christmas Prince: The Royal Wedding,John Schultz,"Rose McIver, Ben Lamb, Alice Krige, Simon Dutton, Honor Kneafsey, Sarah Douglas, Theo Devaney, John Guerrasio, Andy Lucas, Raj Bajaj, Richard Ashton, Billy Angel, Tahirah Sharif, Joel McVeagh","Children & Family Movies, Dramas, Romantic Movies",year help richard secur crown amber return aldovia plan wed simpl tast clash royal protocol,a christmas prince: the royal wedding
1060,Angela's Christmas,Damien O’Connor,"Lucy O'Connell, Ruth Negga, Brendan Mullins, Malachy McCourt, Vivian Drew, Anya O'Connor, Janet Moran, Brian Gleeson, Pat Kinevane",Children & Family Movies,trip church famili christma eve give young angela extraordinari idea heartwarm tale base stori frank mccourt,angela's christmas
1061,Cloudy with a Chance of Meatballs,,"Mark Edwards, Katie Griffin, Seán Cullen, David Berni, Clé Bennett, Patrick McKenna","Kids' TV, TV Comedies",teenag flint lockwood knack invent help pal sam spark chang world – doesnt break,cloudy with a chance of meatballs
1062,Death by Magic,,Drummond Money-Coutts,Reality TV,magician drummond moneycoutt travel globe share infecti love craft attempt feat prove fatal magician,death by magic
1063,El club de los insomnes,"Joseduardo Giordano, Sergio Goyri Jr.","Cassandra Ciangherotti, Leonardo Ortizgris, Alejandra Ambrosi, Alexandra De La Mora, Mónica Dionne, Sergio Goyri, Fernando Becerril, Humberto Busto, Marco Méndez, Alejandra Urdiaín, Khristian Clausen, Fernando Luján","Dramas, International Movies",insomniac aspir photograph pregnant veterinarian form uniqu friendship latenight meet 24hour minimart,el club de los insomnes
1064,Garuda in My Heart 2,Rudy Soedjarwo,"Emir Mahira, Aldo Tansani, Maudy Koesnaedi, Ramzi, Rio Dewanto, Monica Sayangbati, Rendy Khrisna","Children & Family Movies, Dramas, Sports Movies",young soccer player set prove lead team championship – winner talent,garuda in my heart 2
1065,Happy as Lazzaro,Alice Rohrwacher,"Adriano Tardiolo, Agnese Graziani, Alba Rohrwacher, Luca Chikovani, Tommaso Ragno, Sergi López, Natalino Balasso, Carlo Tarmati, Pasqualina Scuncia, Nicoletta Braschi","Dramas, Independent Movies, International Movies",pureheart teen lazzaro content live sharecropp rural itali unlik friendship marquis son chang world,happy as lazzaro
1066,Love,"Kabir Bhatia, Titien Wattimena","Acha Septriasa, Darius Sinathrya, Fauzi Baadila, Irwansyah, Laudya Cynthia Bella, Luna Maya, Sophan Sophiaan, Surya Saputra, Widyawati, Wulan Guritno","Dramas, International Movies, Romantic Movies",jakarta coupl vari age background experi differ stage romant love giddi start pain end,love
1067,Love and Fortune,,"Eri Tokunaga, Daichi Watanabe, Fuju Kamio, Sairi Ito, Mina Fujii, Mansaku Ikeuchi, Kinuo Yamada, Yuka Ogura, Enon Kawatani, Yui Imaizumi, Noriko Eguchi, Masanobu Ando, Kitaro","International TV Shows, Romantic TV Shows, TV Dramas",frustrat life boyfriend thirtysometh wako can ’ t stop interest high schooler yumeaki despit age gap,love and fortune
1068,Manto,Nandita Das,"Nawazuddin Siddiqui, Rasika Dugal, Tahir Raj Bhasin","Dramas, Independent Movies, International Movies",controversi troubl indopakistani writer saadat hasan manto find artist choic challeng censor,manto
1069,Rajma Chawal,Leena Yadav,"Rishi Kapoor, Anirudh Tanwar, Amyra Dastur, Jitendra Shastri, Aparshakti Khurana, Harish Khanna, Manu Rishi Chadha, Nirmal Rishi, Sheeba Chaddha, Adil Hussain, Rahul Ram, Mukesh Chhabra","Comedies, Dramas, International Movies",hope reviv relationship resent millenni son internetrooki widow assum onlin persona young woman,rajma chawal
1070,The World Is Yours,Romain Gavras,"Isabelle Adjani, Karim Leklou, François Damiens, Vincent Cassel, Oulaya Amamra","Action & Adventure, Comedies, International Movies",escap life crime pari drug dealer take job involv spain unhing gangster longtim crush scheme mother,the world is yours
1071,Time Share,Sebastián Hofmann,"Luis Gerardo Méndez, Miguel Rodarte, R.J. Mitte, Cassandra Ciangherotti, Montserrat Marañon, Andrés Almeida, Emiliano Rodríguez","Dramas, Independent Movies, International Movies",husband father pedro increasingli suspici seri mishap resort famili vacat sinist plan,time share
1072,When Two Worlds Collide,"Heidi Brandenburg, Mathew Orzel",,"Documentaries, International Movies",documentari take hard look indigen peopl clash violent peruvian govern land econom amazon,when two worlds collide
1073,Takers,John Luessenhop,"Matt Dillon, Paul Walker, Chris Brown, Idris Elba, Jay Hernandez, Hayden Christensen, Michael Ealy, T.I., Marianne Jean-Baptiste, Zoe Saldana, Steve Harris, Johnathon Schaech",Action & Adventure,motley crew bank robber plan heist colleagu convinc target armor car carri 20 million,takers
1074,Hoodwinked Too! Hood vs. Evil,Mike Disa,"Hayden Panettiere, Glenn Close, Patrick Warburton, Joan Cusack, David Ogden Stiers, Bill Hader, Amy Poehler, Andy Dick, Martin Short, Brad Garrett, Cheech Marin, Tommy Chong, Heidi Klum, Wayne Newton","Children & Family Movies, Comedies",fresh topsecret train feisti heroin littl red team intrepid report wolf investig disappear hansel gretel,hoodwinked too! hood vs. evil
1075,Akulah Balqis,Pali Yahya,"Puteri Balqis, Aeril Zafrel, Nabila Huda, Nazim Othman, Nadia Brian, Bella Dally","International TV Shows, TV Dramas",littl girl enter orphanag parent arrest life take dramat turn escap meet model,akulah balqis
1076,Alias Grace,,"Sarah Gadon, Edward Holcroft, Paul Gross, Anna Paquin, Rebecca Liddiard, Zachary Levi, Kerr Logan, David Cronenberg","Crime TV Shows, International TV Shows, TV Dramas",19thcenturi canada psychiatrist weigh murderess pardon insan base margaret atwood awardwin novel,alias grace
1077,Atlantics,Mati Diop,"Mama Sane, Amadou Mbow, Ibrahima Traore, Nicole Sougou, Amina Kane, Mariama Gassama, Coumba Dieng, Ibrahima Mbaye, Diankou Sembene","Dramas, Independent Movies, International Movies",arrang marri rich man young ada crush true love goe miss sea migrat attempt – miracl reunit,atlantics
1078,Crazy people,Moses Inwang,"Ramsey Nouah, Chigul, Sola Sobowale, Ireti Doyle, Ben Touitou, Francis Onwochei, Ememobong Nkana, Emem Inwang, Patrick Onyeke","Comedies, International Movies, Thrillers",nollywood star ramsey nouah learn imperson break mental institut expos impost,crazy people
1079,I Lost My Body,Jérémy Clapin,"Hakim Faris, Victoire Du Bois, Patrick d'Assumçao, Dev Patel, Alia Shawkat, George Wendt","Dramas, Independent Movies, International Movies",romanc mysteri adventur intertwin young man fall love sever hand scour pari owner mesmer anim film,i lost my body
1080,Kalushi: The Story of Solomon Mahlangu,Mandla Dube,"Thabo Rametsi, Thabo Malema, Welile Nzuza, Jafta Mamabolo, Louw Venter, Pearl Thusi","Dramas, International Movies",life time icon south african liber fighter solomon mahlangu battl forc apartheid come focu,kalushi: the story of solomon mahlangu
1081,Lagos Real Fake Life,Mike Ezuruonye,"Nonso Diobi, Mike Ezuruonye, Mercy Aigbe, Rex Nosa, Annie Macaulay Idibia, Ik Ogbonna, Nedu Wazobia, Uzee Usman, Odunlade Adekola, Mr Jollof, Efe Irele, Josh 2 Funny, Haillie Sumney, Emmanuella, MC Lively","Comedies, International Movies",mooch friend vie attent wealthi beauti women discov lavish lifestyl bogu,lagos real fake life
1082,Payday,Cheta Chukwu,"Baaj Adebule, Ebiye Victor, Meg Otanwa, Bisola Aiyeola, Mawuli Gavor, Zack Orji, Segilola Ogidan","Comedies, Independent Movies, International Movies",expens night flatmat tangl overnight misadventur recov rent money pay dead landlord daughter,payday
1083,Sugar Rush Christmas,,"Hunter March, Candace Nelson, Adriano Zumbo",Reality TV,love sugar rush – holli jolli holiday twist – christmasthem spin competit bake,sugar rush christmas
1084,The Accidental Spy,Roger Russell,"Ramsey Nouah, Christine Allado, Ayo Makun, Emmanuel Edunjobi, Thenjiwe Moseley, Miguel A. Núñez Jr., Bucci Franklin","Action & Adventure, Comedies, International Movies",nurs broken heart specialist move london audit realiti tv unexpectedli turn reallif cartel drama,the accidental spy
1085,The Charming Stepmom,,"Shahkrit Yamnarm, View Wannarot Sontichai, Krittanai Arsalprakit, Ployshompoo Supasap, Boriboon Chanrueng, Shawankorn Wanthanapisitkul, Duangta Toongkamanee, Daraneenuch Pasutanavin, Phuwin Tangsakyuen, Nuntasai Pisolyabut, Pimmara Charoenpakdee, Thanawat Rattanakitpaisan","International TV Shows, Romantic TV Shows, TV Comedies",quirki fashion student nanni handsom widow ’ s kid experienc seri silli antic scheme,the charming stepmom
1086,The Island,Toka McBaror,"Sambasa Nzeribe, Segun Arinze, Tokunbo Idowu, Femi Adebayo","Dramas, International Movies, Thrillers",colonel uncov controversi intel govern make shock discoveri decid reveal risk life,the island
1087,The Movies That Made Us,,,Docuseries,blockbust brought gave time live meet actor director industri insid happen,the movies that made us
1088,Holiday Rush,Leslie Small,"Romany Malco, Sonequa Martin-Green, Darlene Love, Deon Cole, La La Anthony, Deysha Nelson, Amarr M. Wooten, Selena-Marie Alphonse, Andrea-Marie Alphonse","Children & Family Movies, Dramas",widow radio dj spoil kid need tighten belt pull life luxuri turn lean christma,holiday rush
1089,Levius,,"Nobunaga Shimazaki, Junichi Suwabe, Takahiro Sakurai, Ayane Sakura, Hochu Otsuka, Daisuke Ono, Saori Hayami, Mamoru Miyano","Anime Series, International TV Shows",young leviu rise rank brutal world metal box uncl guidanc forc outsid ring eye,levius
1090,Lugar de Mulher,,,"International TV Shows, Stand-Up Comedy & Talk Shows, TV Comedies",comedian brazil riff sexual polit religion motherhood – set prove woman place want,lugar de mulher
1091,Merry Happy Whatever,,"Dennis Quaid, Bridgit Mendler, Brent Morin, Ashley Tisdale, Siobhan Murphy, Adam Rose, Elizabeth Ho, Hayes MacArthur, Garcelle Beauvais, Tyler Ritter, Mason Davis, Lucas Jaye",TV Comedies,struggl la musician tri win new girlfriend gruff dad quirki tightknit sibl 10day christma visit philadelphia,merry happy whatever
1092,Mythomaniac,,"Marina Hands, Mathieu Demy, Marie Drion, Jérémy Gillet, Zélie Rhixon, Yves Jacques, Jean-Charles Clichet, Julia Faure, Andrea Roncato, Linh Dan Pham","International TV Shows, TV Comedies, TV Dramas",burn taken grant work mom suspect partner cheat win attent feign medic diagnosi,mythomaniac
1093,The Score,Frank Oz,"Robert De Niro, Edward Norton, Marlon Brando, Angela Bassett, Gary Farmer, Paul Soles, Jamie Harrold, Serge Houde","Dramas, Thrillers",readytoretir safecrack nick flamboy fenc max talent volatil thief jacki team rob montreal custom hous,the score
1094,Brotherhood of Blades II: The Infernal Battlefield,Lu Yang,"Chang Chen, Yang Mi, Zhang Yi, Lei Jiayin, Xin Zhilei, Shih Chieh King","Action & Adventure, International Movies",track sediti painter imperi guard accus royal assassin attempt frame complic conspiraci,brotherhood of blades ii: the infernal battlefield
1095,Broken,,,Docuseries,investig docuseri show neglig deceit product market popular consum item result dire outcom,broken
1096,Defiance,Edward Zwick,"Daniel Craig, Liev Schreiber, Jamie Bell, Alexa Davalos, Allan Corduner, Mark Feuerstein, Tomas Arana, Jodhi May, Kate Fahy, Iddo Goldberg, George MacKay, Iben Hjejle, Martin Hancock, Jacek Koman, Ravil Isyanov","Action & Adventure, Dramas",actionpack drama base extraordinari true stori brother protect 1000 jewish refuge world war ii,defiance
1097,Evvarikee Cheppoddu,Basava Shankar Eeday,"Rakesh Varre, Gargeyi, Vamsi raj Nekkanti, D P Ghani, K Prasanna","Comedies, International Movies, Romantic Movies",cast differ throw wrench blossom relationship coupl convinc girl ’ s father let marri,evvarikee cheppoddu
1098,Little Singham: Mahabali,Prakash Satam,"Saumya Daan, Sonal Kaushal, Anamaya Verma, Ganesh Divekar, Neshma Chemburkar","Children & Family Movies, Comedies",journey time ancient citi mirchigadh littl singham vie titl ultim warrior fight zombi king ’ s armi,little singham: mahabali
1099,The Body Remembers When the World Broke Open,"Elle-Máijá Tailfeathers, Kathleen Hepburn","Violet Nelson, Elle-Máijá Tailfeathers, Charlie Hannah, Barbara Eve Harris, Sonny Surowiec, Jay Cardinal Villeneuve, Tony Massil, Aidan Dee, James Angus Cowan, Anthony Bolognese","Dramas, Independent Movies",traumat event indigen women vancouv brought form deep bond despit lead differ live,the body remembers when the world broke open
1100,The Irishman,Martin Scorsese,"Robert De Niro, Al Pacino, Joe Pesci, Harvey Keitel, Ray Romano, Bobby Cannavale, Anna Paquin, Stephen Graham, Stephanie Kurtzuba, Kathrine Narducci, Welker White, Jesse Plemons, Jack Huston, Domenick Lombardozzi, Louis Cancelmi, Paul Herman, Gary Basaraba, Marin Ireland, Sebastian Maniscalco, Steven Van Zandt",Dramas,hit man frank sheeran look secret kept loyal member bufalino crime famili acclaim film martin scorses,the irishman
1101,Bumping Mics with Jeff Ross & Dave Attell,,"Jeff Ross, Dave Attell","Stand-Up Comedy & Talk Shows, TV Comedies",jeff ross dave attel stage safe help special guest theyr pack lot laugh epic weekend,bumping mics with jeff ross & dave attell
